geometry_id,system,split,sample_kind,region,donor_distance_angstrom,transfer_distance_angstrom,base_energy_eV,base_bond_energy_eV,base_overcoord_energy_eV,base_angle_energy_eV,component_sum_error_eV,base_force_rms_eV_per_angstrom,base_force_max_eV_per_angstrom
water_dense_transfer_0011,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.3,-12.728002763235757,-18.357463901798138,4.940187466634623,0.6892736719277583,0.0,20.56538192193908,32.94679860832987
water_dense_transfer_0012,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.32,-13.378162622442689,-17.975628499665817,3.9979472654043233,0.599518611818803,0.0,19.436722832186128,31.674490084575428
water_dense_transfer_0013,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.34,-13.942577514053198,-17.58745458178416,3.081304067574278,0.563573000156685,0.0,17.327241177617104,28.96929516626694
water_dense_transfer_0014,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.36,-14.423684694170717,-17.204247839771135,2.2459845631602184,0.5345785824402,1.7763568394002505e-15,14.496458592377802,24.39562131808115
water_dense_transfer_0015,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.38,-14.800608841195379,-16.837591865647184,1.5334464898154545,0.5035365346363507,-1.7763568394002505e-15,10.986199022459981,18.7061215431635
water_dense_transfer_0016,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.4,-15.059360400890535,-16.49801324502662,0.9671364783872637,0.47151636574882233,1.7763568394002505e-15,7.366119858961316,12.756946538994484
water_dense_transfer_0017,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.42,-15.202704352029036,-16.194351930164615,0.551854378193703,0.4397931999418743,-1.7763568394002505e-15,4.254339746950005,7.373770654312222
water_dense_transfer_0018,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.44,-15.24810286515632,-15.933540545992356,0.27565218253236146,0.40978549830367456,0.0,2.4412784455488374,4.121722291126234
water_dense_transfer_0019,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.46,-15.223605946395733,-15.72047460670341,0.1139043119771208,0.38296434833055626,0.0,2.3548308971892817,4.121722291126234
water_dense_transfer_0020,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.48,-15.162326808198106,-15.557971607682935,0.03490220468231871,0.36074259480251175,0.0,2.5959555645547865,4.121722291126234
water_dense_transfer_0021,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.5,-15.0963340186739,-15.446813579612828,0.006123387260300672,0.34435617367862625,0.0,2.4343027958813526,4.121722291126234
water_dense_transfer_0022,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.52,-15.050869842079475,-15.385864832817392,0.00024257723605042146,0.33475241350186663,1.7763568394002505e-15,2.199258711732029,4.121722291126234
water_dense_transfer_0023,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.54,-15.039030186499849,-15.371379723349046,0.0,0.3323495368491969,0.0,2.354786347319908,4.121722291126234
water_dense_transfer_0024,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.56,-15.039030186499849,-15.371379723349046,0.0,0.3323495368491969,0.0,2.354786347319908,4.121722291126234
water_dense_transfer_0025,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.58,-15.039030186499849,-15.371379723349046,0.0,0.3323495368491969,0.0,2.354786347319908,4.121722291126234
water_dense_transfer_0026,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.6,-15.039030186499849,-15.371379723349046,0.0,0.3323495368491969,0.0,2.354786347319908,4.121722291126234
water_dense_transfer_0027,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.62,-15.039030186499849,-15.371379723349046,0.0,0.3323495368491969,0.0,2.354786347319908,4.121722291126234
water_dense_transfer_0028,water,train,dense_transfer_scan,transfer_microscope,1.0285714286,1.64,-15.039030186499849,-15.371379723349046,0.0,0.3323495368491969,0.0,2.354786347319908,4.121722291126234
formaldehyde_reactant_reference_0000,formaldehyde,train,reactant_reference,reactant_reference,1.09,5.0,-15.278360339065305,-15.289326566173896,0.0,0.010966227108591846,0.0,0.3267947333564571,0.5909819377291787
formaldehyde_product_reference_0000,formaldehyde,train,product_reference,product_reference,5.0,0.74144,-15.71694615227051,-16.043905355948013,0.0,0.32695920367750403,0.0,1.2510722054632664,2.1916024948796298
formaldehyde_dense_transfer_0000,formaldehyde,train,dense_transfer_scan,transfer_microscope,1.3857142857,0.84,-11.383353801613168,-18.96315598824087,7.568896012867686,0.01090617376001588,0.0,6.285224147267518,11.075754690442
formaldehyde_dense_transfer_0001,formaldehyde,train,dense_transfer_scan,transfer_microscope,1.3857142857,0.86,-11.326994493422774,-18.906796680050476,7.568896012867686,0.01090617376001588,0.0,6.441312751769887,11.428803527606993
formaldehyde_dense_transfer_0002,formaldehyde,train,dense_transfer_scan,transfer_microscope,1.3857142857,0.88,-11.264068518991351,-18.843870705619054,7.568896012867686,0.01090617376001588,0.0,6.57895638409627,11.733096337341157
formaldehyde_dense_transfer_0003,formaldehyde,train,dense_transfer_scan,transfer_microscope,1.3857142857,0.9,-11.19550472008249,-18.775306906710192,7.568896012867686,0.01090617376001588,0.0,6.698761280437845,11.993217022812154
formaldehyde_dense_transfer_0004,formaldehyde,train,dense_transfer_scan,transfer_microscope,1.3857142857,0.92,-11.122144113828849,-18.701946300456548,7.568896012867686,0.01090617376001588,3.552713678800501e-15,6.801616699161369,12.213365379130884
formaldehyde_dense_transfer_0005,formaldehyde,train,dense_transfer_scan,transfer_microscope,1.3857142857,0.94,-11.116514438125606,-18.598873599010084,7.4714529871244615,0.01090617376001588,0.0,4.811411253834344,8.139822976264124
formaldehyde_dense_transfer_0006,formaldehyde,train,dense_transfer_scan,transfer_microscope,1.3857142857,0.96,-11.405717944914542,-18.386428828345913,6.9698047096713545,0.01090617376001588,0.0,11.934777148104837,21.569751219054453
formaldehyde_dense_transfer_0007,formaldehyde,train,dense_transfer_scan,transfer_microscope,1.3857142857,0.98,-11.952297957482829,-18.073074749301455,6.1098706180586095,0.01090617376001588,0.0,18.578892032960397,32.24963962442305
formaldehyde_dense_transfer_0008,formaldehyde,train,dense_transfer_scan,transfer_microscope,1.3857142857,1.0,-12.657821131836723,-17.679784467081845,5.011057161485109,0.01090617376001588,3.552713678800501e-15,21.992615385656443,37.288397072993
formaldehyde_dense_transfer_0009,formaldehyde,train,dense_transfer_scan,transfer_microscope,1.3857142857,1.02,-13.403158581719282,-17.231473510015036,3.817408754535741,0.01090617376001588,3.552713678800501e-15,21.728513569961123,36.26866695056566
formaldehyde_dense_transfer_0010,formaldehyde,train,dense_transfer_scan,transfer_microscope,1.3857142857,1.04,-14.073492777593497,-16.755221017471946,2.6708220661184363,0.01090617376001588,3.552713678800501e-15,18.248501693675358,30.022417184720272
formaldehyde_dense_transfer_0011,formaldehyde,train,dense_transfer_scan,transfer_microscope,1.3857142857,1.06,-14.581394371445693,-16.27845220211688,1.6861516569111747,0.01090617376001588,3.552713678800501e-15,12.685013363187485,20.39602626533257
formaldehyde_dense_transfer_0012,formaldehyde,train,dense_transfer_scan,transfer_microscope,1.3857142857,1.08,-14.882817075912298,-15.827203356951204,0.9334801072788907,0.01090617376001588,1.7763568394002505e-15,6.570485461835217,10.86548905086301
formaldehyde_dense_transfer_0013,formaldehyde,train,dense_transfer_scan,transfer_microscope,1.3857142857,1.1,-14.982547390511161,-15.424576787137653,0.43112322286647575,0.01090617376001588,0.0,2.0126382133951655,3.3196769826042605
formaldehyde_dense_transfer_0014,formaldehyde,train,dense_transfer_scan,transfer_microscope,1.3857142857,1.12,-14.9281203027423,-15.089473099610029,0.15044662310771434,0.01090617376001588,1.7763568394002505e-15,3.1635774201526137,5.395712407522835
formaldehyde_dense_transfer_0015,formaldehyde,train,dense_transfer_scan,transfer_microscope,1.3857142857,1.14,-14.793898595710624,-14.835664295038873,0.03085952556823352,0.01090617376001588,1.7763568394002505e-15,4.212817295694775,7.345442743837478
