geometry_id,system,transfer_distance_angstrom,fixed_donor_distance_angstrom,taper_inner_angstrom,taper_outer_angstrom,base_relative_eV,qm_relative_eV,residual_target_eV,base_bond_energy_eV,base_overcoord_energy_eV,base_angle_energy_eV,base_force_max_eV_per_angstrom
water_dense_transfer_0017,water,1.42,1.0285714286,1.2,1.536,-0.05162958186994082,0.5638037043836448,0.6154332862535856,-16.194351930164615,0.551854378193703,0.4397931999418743,7.373770654312222
water_dense_transfer_0018,water,1.44,1.0285714286,1.2,1.536,-0.0970280949972242,0.5211967863015161,0.6182248812987403,-15.933540545992356,0.27565218253236146,0.40978549830367456,4.121722291126234
water_dense_transfer_0019,water,1.46,1.0285714286,1.2,1.536,-0.0725311762366374,0.4810805471624917,0.5536117233991291,-15.72047460670341,0.1139043119771208,0.38296434833055626,4.121722291126234
water_dense_transfer_0020,water,1.48,1.0285714286,1.2,1.536,-0.01125203803901087,0.44340195545646566,0.4546539934954765,-15.557971607682935,0.03490220468231871,0.36074259480251175,4.121722291126234
water_dense_transfer_0021,water,1.5,1.0285714286,1.2,1.536,0.05474075148519475,0.40802437351158005,0.3532836220263853,-15.446813579612828,0.006123387260300672,0.34435617367862625,4.121722291126234
water_dense_transfer_0022,water,1.52,1.0285714286,1.2,1.536,0.10020492807962,0.3748950556455384,0.2746901275659184,-15.385864832817392,0.00024257723605042146,0.33475241350186663,4.121722291126234
water_dense_transfer_0023,water,1.54,1.0285714286,1.2,1.536,0.1120445836592463,0.3439846615965507,0.23194007793730442,-15.371379723349046,0.0,0.3323495368491969,4.121722291126234
water_dense_transfer_0024,water,1.56,1.0285714286,1.2,1.536,0.1120445836592463,0.31513779778288153,0.20309321412363524,-15.371379723349046,0.0,0.3323495368491969,4.121722291126234
water_dense_transfer_0025,water,1.58,1.0285714286,1.2,1.536,0.1120445836592463,0.2882350095160291,0.1761904258567828,-15.371379723349046,0.0,0.3323495368491969,4.121722291126234
water_dense_transfer_0026,water,1.6,1.0285714286,1.2,1.536,0.1120445836592463,0.26327314694481174,0.15122856328556544,-15.371379723349046,0.0,0.3323495368491969,4.121722291126234
water_dense_transfer_0027,water,1.62,1.0285714286,1.2,1.536,0.1120445836592463,0.24016181171737117,0.12811722805812487,-15.371379723349046,0.0,0.3323495368491969,4.121722291126234
water_dense_transfer_0028,water,1.64,1.0285714286,1.2,1.536,0.1120445836592463,0.21869777186020656,0.10665318820096026,-15.371379723349046,0.0,0.3323495368491969,4.121722291126234
formaldehyde_dense_transfer_0000,formaldehyde,0.84,1.3857142857,0.9268,1.186304,3.8950065374521365,0.19224866982858657,-3.70275786762355,-18.96315598824087,7.568896012867686,0.01090617376001588,11.075754690442
formaldehyde_dense_transfer_0001,formaldehyde,0.86,1.3857142857,0.9268,1.186304,3.951365845642531,0.1735630832249626,-3.7778027624175685,-18.906796680050476,7.568896012867686,0.01090617376001588,11.428803527606993
formaldehyde_dense_transfer_0002,formaldehyde,0.88,1.3857142857,0.9268,1.186304,4.014291820073954,0.1619284521798363,-3.8523633678941174,-18.843870705619054,7.568896012867686,0.01090617376001588,11.733096337341157
formaldehyde_dense_transfer_0003,formaldehyde,0.9,1.3857142857,0.9268,1.186304,4.082855618982816,0.1564153336785239,-3.9264402853042917,-18.775306906710192,7.568896012867686,0.01090617376001588,11.993217022812154
formaldehyde_dense_transfer_0004,formaldehyde,0.92,1.3857142857,0.9268,1.186304,4.156216225236456,0.15619047120208052,-4.000025754034375,-18.701946300456548,7.568896012867686,0.01090617376001588,12.213365379130884
formaldehyde_dense_transfer_0005,formaldehyde,0.94,1.3857142857,0.9268,1.186304,4.161845900939699,0.1605056208741189,-4.00134028006558,-18.598873599010084,7.4714529871244615,0.01090617376001588,8.139822976264124
formaldehyde_dense_transfer_0006,formaldehyde,0.96,1.3857142857,0.9268,1.186304,3.8726423941507626,0.16868816816304388,-3.7039542259877187,-18.386428828345913,6.9698047096713545,0.01090617376001588,21.569751219054453
formaldehyde_dense_transfer_0007,formaldehyde,0.98,1.3857142857,0.9268,1.186304,3.326062381582476,0.18013334636088985,-3.1459290352215863,-18.073074749301455,6.1098706180586095,0.01090617376001588,32.24963962442305
formaldehyde_dense_transfer_0008,formaldehyde,1.0,1.3857142857,0.9268,1.186304,2.620539207228582,0.19429750089466324,-2.4262417063339186,-17.679784467081845,5.011057161485109,0.01090617376001588,37.288397072993
formaldehyde_dense_transfer_0009,formaldehyde,1.02,1.3857142857,0.9268,1.186304,1.875201757346023,0.21069252241522918,-1.6645092349307937,-17.231473510015036,3.817408754535741,0.01090617376001588,36.26866695056566
formaldehyde_dense_transfer_0010,formaldehyde,1.04,1.3857142857,0.9268,1.186304,1.2048675614718078,0.2288808804087239,-0.975986681063084,-16.755221017471946,2.6708220661184363,0.01090617376001588,30.022417184720272
formaldehyde_dense_transfer_0011,formaldehyde,1.06,1.3857142857,0.9268,1.186304,0.6969659676196116,0.24847133781577213,-0.4484946298038395,-16.27845220211688,1.6861516569111747,0.01090617376001588,20.39602626533257
formaldehyde_dense_transfer_0012,formaldehyde,1.08,1.3857142857,0.9268,1.186304,0.3955432631530069,0.26911520506064335,-0.12642805809236357,-15.827203356951204,0.9334801072788907,0.01090617376001588,10.86548905086301
formaldehyde_dense_transfer_0013,formaldehyde,1.1,1.3857142857,0.9268,1.186304,0.2958129485541434,0.29050295621436817,-0.005309992339775249,-15.424576787137653,0.43112322286647575,0.01090617376001588,3.3196769826042605
formaldehyde_dense_transfer_0014,formaldehyde,1.12,1.3857142857,0.9268,1.186304,0.3502400363230045,0.3123610845618714,-0.037878951761133095,-15.089473099610029,0.15044662310771434,0.01090617376001588,5.395712407522835
formaldehyde_dense_transfer_0015,formaldehyde,1.14,1.3857142857,0.9268,1.186304,0.4844617433546805,0.33444911513151965,-0.15001262822316086,-14.835664295038873,0.03085952556823352,0.01090617376001588,7.345442743837478
formaldehyde_dense_transfer_0016,formaldehyde,1.16,1.3857142857,0.9268,1.186304,0.61906915160802,0.3565572348425121,-0.2625119167655079,-14.671244674936803,0.0010473137195019975,0.01090617376001588,6.274087331751556
formaldehyde_dense_transfer_0017,formaldehyde,1.18,1.3857142857,0.9268,1.186304,0.6837468422653021,0.37850405828794464,-0.3052427839773575,-14.606058986972075,0.0,0.01144549017207216,5.95587526358045
