geometry_id,system,sample_kind,region,transfer_distance_angstrom,donor_distance_angstrom,qm_energy_eV,hstate_energy_eV,sapt_hstate_energy_eV,hstate_force_max_eV_per_angstrom,sapt_hstate_force_max_eV_per_angstrom,qm_relative_eV,hstate_relative_eV,sapt_hstate_relative_eV,hstate_residual_eV,sapt_hstate_residual_eV
formaldehyde_dense_transfer_0007,formaldehyde,dense_transfer_scan,transfer_microscope,0.98,1.3857142857,-3128.531969909391,-15.242699664389281,-14.577445162161204,9.689397123402369,4.28433435885245,0.18013334636088985,0.03566067467602352,0.7009151769041004,0.14447267168486633,-0.5207818305432106
formaldehyde_dense_transfer_0008,formaldehyde,dense_transfer_scan,transfer_microscope,1.0,1.3857142857,-3128.5178057548574,-15.039367476191615,-14.485633604242977,10.523046905087613,4.750817880106548,0.19429750089466324,0.23899286287369037,0.7927267348223275,-0.044695361979027126,-0.5984292339276642
formaldehyde_dense_transfer_0009,formaldehyde,dense_transfer_scan,transfer_microscope,1.02,1.3857142857,-3128.501410733337,-14.832105986433083,-14.394100604164407,9.955966643077213,4.216659743050018,0.21069252241522918,0.4462543526322218,0.8842597349008976,-0.23556183021699262,-0.6735672124856684
formaldehyde_dense_transfer_0010,formaldehyde,dense_transfer_scan,transfer_microscope,1.04,1.3857142857,-3128.4832223753433,-14.650050721577943,-14.324273696946507,8.05815350850434,4.288493144068923,0.2288808804087239,0.6283096174873624,0.9540866421187975,-0.39942873707863846,-0.7252057617100736
formaldehyde_dense_transfer_0011,formaldehyde,dense_transfer_scan,transfer_microscope,1.06,1.3857142857,-3128.4636319179363,-14.515838869356882,-14.29385538840495,5.2551167516628965,5.1504861463808975,0.24847133781577213,0.7625214697084228,0.9845049506603551,-0.5140501318926507,-0.736033612844583
formaldehyde_dense_transfer_0012,formaldehyde,dense_transfer_scan,transfer_microscope,1.08,1.3857142857,-3128.4429880506914,-14.44223006023542,-14.307651064950107,5.4277898280179215,7.234657268400514,0.26911520506064335,0.8361302788298843,0.9707092741151975,-0.567015073769241,-0.7015940690545541
formaldehyde_dense_transfer_0013,formaldehyde,dense_transfer_scan,transfer_microscope,1.1,1.3857142857,-3128.4216002995377,-14.429757675176804,-14.35797575256331,6.533361513372787,9.129392097312161,0.29050295621436817,0.8486026638885011,0.9203845865019957,-0.558099707674133,-0.6298816302876276
formaldehyde_dense_transfer_0014,formaldehyde,dense_transfer_scan,transfer_microscope,1.12,1.3857142857,-3128.39974217119,-14.46413942789613,-14.42980250014628,8.56611631382097,9.942518365093042,0.3123610845618714,0.8142209111691745,0.8485578389190245,-0.5018598266073031,-0.5361967543571531
formaldehyde_dense_transfer_0015,formaldehyde,dense_transfer_scan,transfer_microscope,1.14,1.3857142857,-3128.3776541406205,-14.51783487655461,-14.5030562364562,8.850718910127316,9.541699269433256,0.33444911513151965,0.7605254625106941,0.7753041026091054,-0.42607634737917444,-0.4408549874775858
formaldehyde_dense_transfer_0016,formaldehyde,dense_transfer_scan,transfer_microscope,1.16,1.3857142857,-3128.3555460209095,-14.562058332894377,-14.557364653970264,7.871555698003574,8.223542483632832,0.3565572348425121,0.7163020061709275,0.7209956850950405,-0.3597447713284154,-0.3644384502525284
formaldehyde_dense_transfer_0017,formaldehyde,dense_transfer_scan,transfer_microscope,1.18,1.3857142857,-3128.333599197464,-14.589142343857853,-14.588862469772037,6.357067480732193,6.4454647796335305,0.37850405828794464,0.6892179952074518,0.6894978692932678,-0.3107139369195071,-0.3109938110053232
formaldehyde_dense_transfer_0018,formaldehyde,dense_transfer_scan,transfer_microscope,1.2,1.3857142857,-3128.311969440319,-14.59109890467536,-14.591098904675357,5.965349121100451,5.965349121100451,0.40013381543303694,0.6872614343899457,0.6872614343899475,-0.28712761895690875,-0.2871276189569105
formaldehyde_dense_transfer_0019,formaldehyde,dense_transfer_scan,transfer_microscope,1.22,1.3857142857,-3128.290789258928,-14.59109890467536,-14.591098904675357,5.965349121100451,5.965349121100451,0.42131399682421034,0.6872614343899457,0.6872614343899475,-0.26594743756573536,-0.26594743756573713
formaldehyde_dense_transfer_0020,formaldehyde,dense_transfer_scan,transfer_microscope,1.24,1.3857142857,-3128.2701691997395,-14.59109890467536,-14.591098904675357,5.965349121100451,5.965349121100451,0.441934056012542,0.6872614343899457,0.6872614343899475,-0.2453273783774037,-0.24532737837740548
formaldehyde_dense_transfer_0021,formaldehyde,dense_transfer_scan,transfer_microscope,1.26,1.3857142857,-3128.2501994565037,-14.59109890467536,-14.591098904675357,5.965349121100451,5.965349121100451,0.46190379924837544,0.6872614343899457,0.6872614343899475,-0.22535763514157026,-0.22535763514157203
formaldehyde_dense_transfer_0022,formaldehyde,dense_transfer_scan,transfer_microscope,1.28,1.3857142857,-3128.230952639451,-14.59109890467536,-14.591098904675357,5.965349121100451,5.965349121100451,0.48115061630096534,0.6872614343899457,0.6872614343899475,-0.20611081808898035,-0.20611081808898213
methane_reactant_reference_0000,methane,reactant_reference,reactant_reference,5.0,1.09,-1115.7861627576292,-18.182950505049764,-18.182950505049767,0.11656616129668862,0.11656616129668862,0.0,0.0,0.0,0.0,0.0
methane_product_reference_0000,methane,product_reference,product_reference,0.74144,5.0,-1115.2449136524867,-18.127770065517772,-18.127770065517772,0.6617167972363673,0.6617167972363673,0.5412491051424695,0.055180439531991254,0.05518043953199481,0.48606866561047823,0.4860686656104747
methane_dense_transfer_0000,methane,dense_transfer_scan,transfer_microscope,0.84,1.3857142857,-1115.0840765090138,-17.779771549267863,-17.20166208428043,2.222128159575499,1.995546437584031,0.7020862486153874,0.40317895578190033,0.9812884207693386,0.29890729283348705,-0.27920217215395127
methane_dense_transfer_0001,methane,dense_transfer_scan,transfer_microscope,0.86,1.3857142857,-1115.1062736163965,-17.805657540714865,-17.24016999220122,1.8357162281260688,1.8605360775573165,0.6798891412327066,0.3772929643348988,0.9427805128485467,0.3025961768978078,-0.2628913716158401
methane_dense_transfer_0002,methane,dense_transfer_scan,transfer_microscope,0.88,1.3857142857,-1115.1218533049846,-17.82884337745182,-17.276274584181202,1.4392995184870632,1.7542048723811137,0.6643094526446021,0.3541071275979455,0.9066759208685653,0.31020232504665657,-0.24236646822396324
methane_dense_transfer_0003,methane,dense_transfer_scan,transfer_microscope,0.9,1.3857142857,-1115.1317447119097,-17.85003277099601,-17.310490959936434,1.0367636594270575,2.008888902753501,0.654418045719467,0.3329177340537548,0.8724595451133332,0.32150031166571225,-0.2180414993938662
methane_dense_transfer_0004,methane,dense_transfer_scan,transfer_microscope,0.92,1.3857142857,-1115.1367783041985,-17.869778291856434,-17.343225961489374,0.958640628820304,2.292945226590634,0.6493844534306845,0.31317221319332944,0.8397245435603935,0.3362122402373551,-0.19034009012970898
methane_dense_transfer_0005,methane,dense_transfer_scan,transfer_microscope,0.94,1.3857142857,-1115.1376964158392,-17.87188419896907,-17.36459735431637,1.6105334264527151,1.1367849783491124,0.6484663417900265,0.3110663060806935,0.8183531507333974,0.33740003570933297,-0.16988680894337094
methane_dense_transfer_0006,methane,dense_transfer_scan,transfer_microscope,0.96,1.3857142857,-1115.1351620745086,-17.80913774291275,-17.34611856654882,4.5507546524857405,1.783103112678585,0.6510006831206283,0.373812762137014,0.8368319385009464,0.27718792098361433,-0.18583125538031808
methane_dense_transfer_0007,methane,dense_transfer_scan,transfer_microscope,0.98,1.3857142857,-1115.1297664497174,-17.69771142417335,-17.29751314969898,6.382863116445288,2.979353354834905,0.6563963079117912,0.4852390808764149,0.8854373553507884,0.17115722703537628,-0.22904104743899723
methane_dense_transfer_0008,methane,dense_transfer_scan,transfer_microscope,1.0,1.3857142857,-1115.1220352724151,-17.562201776153294,-17.230818330791926,6.966427954670104,3.5844688123689012,0.6641274852140668,0.6207487288964693,0.9521321742578408,0.04337875631759758,-0.28800468904377396
methane_dense_transfer_0009,methane,dense_transfer_scan,transfer_microscope,1.02,1.3857142857,-1115.1124344217199,-17.426385151601373,-17.159216098020952,6.455156927521131,4.37142534213271,0.6737283359093453,0.7565653534483907,1.0237344070288152,-0.08283701753904538,-0.3500060711194699
methane_dense_transfer_0010,methane,dense_transfer_scan,transfer_microscope,1.04,1.3857142857,-1115.1013749950237,-17.30938096855882,-17.10013060678255,5.1343368185465295,5.309821358742941,0.6847877626055379,0.8735695364909439,1.0828198982672177,-0.18878177388540607,-0.39803213566167983
methane_dense_transfer_0011,methane,dense_transfer_scan,transfer_microscope,1.06,1.3857142857,-1115.0892179309435,-17.224700641420462,-17.070682830690565,5.713862165471099,6.101469220847836,0.6969448266856944,0.9582498636293018,1.1122676743592024,-0.2613050369436074,-0.415322847673508
methane_dense_transfer_0012,methane,dense_transfer_scan,transfer_microscope,1.08,1.3857142857,-1115.0762782082288,-17.18143597057276,-17.079305583271996,6.491614426033324,8.20076189297128,0.7098845494003854,1.0015145344770033,1.1036449217777715,-0.29162998507661797,-0.39376037237738615
methane_dense_transfer_0013,methane,dense_transfer_scan,transfer_microscope,1.1,1.3857142857,-1115.0628288215808,-17.183099068988902,-17.12326426152052,8.26682631421278,10.130175481120354,0.7233339360484479,0.9998514360608617,1.0596862435292458,-0.2765175000124138,-0.3363523074807979
methane_dense_transfer_0014,methane,dense_transfer_scan,transfer_microscope,1.12,1.3857142857,-1115.0491047991832,-17.22203069010956,-17.1907414161996,9.960853692346202,11.082375026794452,0.7370579584460302,0.9609198149402047,0.9922090888501671,-0.22386185649417456,-0.25515113040413695
