step,time_fs,old_total_eV,new_total_eV,old_drift_eV,new_drift_eV,max_position_difference_A,max_velocity_difference_A_per_fs,max_force_difference_eV_per_A,energy_difference_eV,old_capped_steps,new_capped_steps
610,30.5000000000003,-3.6580593467074416,-3.6580593467074416,0.00014379419257881665,0.00014379419257881665,0.0,0.0,0.0,0.0,0,0
620,31.000000000000306,-3.658070441048348,-3.658070441048348,0.00013269985167241316,0.00013269985167241316,0.0,0.0,0.0,0.0,0,0
630,31.500000000000313,-3.658089220548358,-3.658089220548358,0.00011392035166224446,0.00011392035166224446,0.0,0.0,0.0,0.0,0,0
640,32.00000000000032,-3.6581080153866203,-3.6581080153866203,9.512551340007391e-05,9.512551340007391e-05,0.0,0.0,0.0,0.0,0,0
650,32.50000000000029,-3.658411507067933,-3.658411507067933,-0.00020836616791264362,-0.00020836616791264362,0.0,0.0,0.0,0.0,0,0
660,33.00000000000026,-3.6582021846355213,-3.6582021846355213,9.562644991412128e-07,9.562644991412128e-07,0.0,0.0,0.0,0.0,0,0
670,33.500000000000234,-3.657999764613209,-3.657999764613209,0.00020337628681144082,0.00020337628681144082,0.0,0.0,0.0,0.0,0,0
680,34.000000000000206,-3.6580329395973257,-3.6580329395973257,0.0001702013026947391,0.0001702013026947391,0.0,0.0,0.0,0.0,0,0
690,34.50000000000018,-3.6582744255727,-3.6582744255727,-7.128467267980554e-05,-7.128467267980554e-05,0.0,0.0,0.0,0.0,0,0
700,35.00000000000015,-3.6584127388265717,-3.6584127388265717,-0.00020959792655128595,-0.00020959792655128595,0.0,0.0,0.0,0.0,0,0
710,35.50000000000012,-3.6580480383815317,-3.6580480383815317,0.00015510251848871448,0.00015510251848871448,0.0,0.0,0.0,0.0,0,0
720,36.00000000000009,-3.658028552793516,-3.658028552793516,0.00017458810650428092,0.00017458810650428092,0.0,0.0,0.0,0.0,0,0
730,36.500000000000064,-3.6580110516925015,-3.6580110516925015,0.00019208920751889735,0.00019208920751889735,0.0,0.0,0.0,0.0,0,0
740,37.000000000000036,-3.6580030268889185,-3.6580030268889185,0.00020011401110187066,0.00020011401110187066,0.0,0.0,0.0,0.0,0,0
750,37.50000000000001,-3.6580083004163737,-3.6580083004163737,0.0001948404836467077,0.0001948404836467077,0.0,0.0,0.0,0.0,0,0
