geometry_id,system,sample_kind,region,transfer_distance_angstrom,donor_distance_angstrom,qm_energy_eV,hstate_energy_eV,hard_valence_energy_eV,over_delta_eV,angle_delta_eV,original_heavy_over_eV,selected_heavy_over_eV,original_heavy_angle_eV,selected_heavy_angle_eV,qm_relative_eV,hstate_relative_eV,hard_valence_relative_eV,hstate_residual_eV,hard_valence_residual_eV
formaldehyde_dense_transfer_0008,formaldehyde,dense_transfer_scan,transfer_microscope,1.0,1.3857142857,-3128.5178057548574,-15.039367476191615,-15.039367476191615,0.0,0.0,0.0,0.0,0.01090617376001588,0.01090617376001588,0.19429750089466324,0.23899286287369037,0.23899286287369037,-0.044695361979027126,-0.044695361979027126
formaldehyde_dense_transfer_0009,formaldehyde,dense_transfer_scan,transfer_microscope,1.02,1.3857142857,-3128.501410733337,-14.832105986433083,-14.832105986433083,0.0,0.0,0.0,0.0,0.01090617376001588,0.01090617376001588,0.21069252241522918,0.4462543526322218,0.4462543526322218,-0.23556183021699262,-0.23556183021699262
formaldehyde_dense_transfer_0010,formaldehyde,dense_transfer_scan,transfer_microscope,1.04,1.3857142857,-3128.4832223753433,-14.650050721577943,-14.650050721577943,0.0,0.0,0.0,0.0,0.01090617376001588,0.01090617376001588,0.2288808804087239,0.6283096174873624,0.6283096174873624,-0.39942873707863846,-0.39942873707863846
formaldehyde_dense_transfer_0011,formaldehyde,dense_transfer_scan,transfer_microscope,1.06,1.3857142857,-3128.4636319179363,-14.515838869356882,-14.515838869356882,0.0,0.0,0.0,0.0,0.01090617376001588,0.01090617376001588,0.24847133781577213,0.7625214697084228,0.7625214697084228,-0.5140501318926507,-0.5140501318926507
formaldehyde_dense_transfer_0012,formaldehyde,dense_transfer_scan,transfer_microscope,1.08,1.3857142857,-3128.4429880506914,-14.44223006023542,-14.44223006023542,0.0,0.0,0.0,0.0,0.01090617376001588,0.01090617376001588,0.26911520506064335,0.8361302788298843,0.8361302788298843,-0.567015073769241,-0.567015073769241
formaldehyde_dense_transfer_0013,formaldehyde,dense_transfer_scan,transfer_microscope,1.1,1.3857142857,-3128.4216002995377,-14.429757675176804,-14.429757675176804,0.0,0.0,0.0,0.0,0.01090617376001588,0.01090617376001588,0.29050295621436817,0.8486026638885011,0.8486026638885011,-0.558099707674133,-0.558099707674133
formaldehyde_dense_transfer_0014,formaldehyde,dense_transfer_scan,transfer_microscope,1.12,1.3857142857,-3128.39974217119,-14.46413942789613,-14.46413942789613,0.0,0.0,0.0,0.0,0.01090617376001588,0.01090617376001588,0.3123610845618714,0.8142209111691745,0.8142209111691745,-0.5018598266073031,-0.5018598266073031
formaldehyde_dense_transfer_0015,formaldehyde,dense_transfer_scan,transfer_microscope,1.14,1.3857142857,-3128.3776541406205,-14.51783487655461,-14.51783487655461,0.0,0.0,0.0,0.0,0.01090617376001588,0.01090617376001588,0.33444911513151965,0.7605254625106941,0.7605254625106941,-0.42607634737917444,-0.42607634737917444
formaldehyde_dense_transfer_0016,formaldehyde,dense_transfer_scan,transfer_microscope,1.16,1.3857142857,-3128.3555460209095,-14.562058332894377,-14.562058332894377,0.0,0.0,0.0,0.0,0.01090617376001588,0.01090617376001588,0.3565572348425121,0.7163020061709275,0.7163020061709275,-0.3597447713284154,-0.3597447713284154
formaldehyde_dense_transfer_0017,formaldehyde,dense_transfer_scan,transfer_microscope,1.18,1.3857142857,-3128.333599197464,-14.589142343857853,-14.589142343857853,0.0,0.0,0.0,0.0,0.01144549017207216,0.01144549017207216,0.37850405828794464,0.6892179952074518,0.6892179952074518,-0.3107139369195071,-0.3107139369195071
