geometry_id,system,split,sample_kind,region,donor_distance_angstrom,transfer_distance_angstrom,base_energy_eV,base_bond_energy_eV,base_overcoord_energy_eV,base_angle_energy_eV,component_sum_error_eV,base_force_rms_eV_per_angstrom,base_force_max_eV_per_angstrom
h3_grid_0055,h3,train,grid,off_path,1.5571428571,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3_grid_0056,h3,train,grid,product_like,1.7,0.7,-4.4791563811834925,-4.4791563811834925,0.0,0.0,0.0,1.3742060996423946,1.6830518727720618
h3_grid_0057,h3,train,grid,product_like,1.7,0.8428571429,-4.36141102726101,-4.36141102726101,0.0,0.0,0.0,2.1969939990804512,2.6907571328518802
h3_grid_0058,h3,train,grid,transfer_region,1.7,0.9857142857,-3.3247077827859104,-3.3247077827859104,0.0,0.0,0.0,16.057569978330207,19.66642647797147
h3_grid_0059,h3,train,grid,transfer_region,1.7,1.1285714286,-0.37532601495965395,-0.37532601495965395,0.0,0.0,0.0,10.57453974131966,12.951113315507794
h3_grid_0060,h3,train,grid,off_path,1.7,1.2714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3_grid_0061,h3,train,grid,off_path,1.7,1.4142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3_grid_0062,h3,train,grid,off_path,1.7,1.5571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3_grid_0063,h3,train,grid,off_path,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3_jitter_0000,h3,train,jitter,reactant_like,0.7876250195,1.4518423924,-4.477711356966941,-4.477711356966941,0.0,0.0,0.0,1.178591479183274,1.4434738695955414
h3_jitter_0001,h3,train,jitter,transfer_region,1.2230785277,1.1382812179,-0.2596652074071462,-0.2596652074071462,0.0,0.0,0.0,8.863263233787027,10.855236189374292
h3_jitter_0002,h3,train,jitter,transfer_region,1.5921208834,1.1853740684,-9.366439078419818e-05,-9.366439078419818e-05,0.0,0.0,0.0,0.16458909222033646,0.20157964658385438
h3_jitter_0003,h3,train,jitter,off_path,1.4389615163,1.3368583982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3_jitter_0004,h3,train,jitter,off_path,1.2506116128,1.5572299558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3_jitter_0005,h3,train,jitter,off_path,1.6468505437,1.3642899479,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3_jitter_0006,h3,train,jitter,off_path,1.6718736938,1.5502963514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3_jitter_0007,h3,train,jitter,transfer_region,0.7580794525,1.2133219103,-4.50782342012962,-4.50782342012962,0.0,0.0,0.0,0.4637019902337272,0.5679166343928301
