x_A,hstate_energy_eV,hard_energy_eV,smooth_energy_eV,oo_taper_01,oo_taper_10,hard_oo_membership_01,hard_oo_membership_10,smooth_oo_membership_01,smooth_oo_membership_10,hard_o0_h1,hard_o0_h2,hard_o1_h1,hard_o1_h2,smooth_o0_h1,smooth_o0_h2,smooth_o1_h1,smooth_o1_h2,hard_over_delta_eV,hard_angle_delta_eV,smooth_over_delta_eV,smooth_angle_delta_eV
1.129,-9.385985148265172,-14.098796791081496,-14.06753443047085,0.33375829381366273,0.33375829381366273,0.0,0.0,0.010334735092209803,0.01425355931665315,1.0,1.0,1.0,1.0,0.9954669566069844,0.9941983083008059,0.9949332270368871,0.9908132136464597,-1.7328543772124188,-2.9799572656039044,-1.7328543772124188,-2.9486949049932587
1.1300000000000001,-9.444714105065037,-14.102801980189161,-14.07209921086052,0.33089178711691053,0.33089178711691053,0.0,0.0,0.010231460361540552,0.014164504613618522,1.0,1.0,1.0,1.0,0.9955116766270924,0.9942568630113671,0.9949739044987481,0.9908615908876334,-1.703216714099814,-2.9548711610243115,-1.703216714099814,-2.924168391695669
1.131,-9.503059629657576,-14.106801841867327,-14.076656215850653,0.32803154285147695,0.32803154285147695,0.0,0.0,0.010127390960960242,0.014073672538571695,1.0,1.0,1.0,1.0,0.9955567587201332,0.9943158503189067,0.9950150668698736,0.9909112605915549,-1.6738986059494736,-2.9298436062602766,-1.6738986059494736,-2.8996979802436034
1.1320000000000001,-9.561021734638238,-14.11079636176039,-14.081205677697563,0.32517766693819616,0.32517766693819616,0.0,0.0,0.010022422319223722,0.013980889219569321,1.0,1.0,1.0,1.0,0.995602249836408,0.9943753278443684,0.9950567764246551,0.9909623343557756,-1.6448994525124325,-2.9048751746097174,-1.6448994525124325,-2.8752844905468904
1.133,-9.618600466872405,-14.11478552552789,-14.085747782848955,0.32233026506207124,0.32233026506207124,0.0,0.0,0.009916462143325474,0.013885995383491778,1.0,1.0,1.0,1.0,0.9956481914702651,0.9944353463864095,0.9950990896756197,0.9910149149408888,-1.6162186172996678,-2.879966441355818,-1.6162186172996678,-2.850928698676884
1.1340000000000001,-9.67579590716075,-14.118769318850573,-14.090282674015484,0.31948944266835577,0.31948944266835577,0.0,0.0,0.009809430192008538,0.013788846355060813,1.0,1.0,1.0,1.0,0.9956946197573295,0.9944959500506619,0.9951420574156036,0.9910690962293358,-1.587855427859002,-2.8551179838308194,-1.587855427859002,-2.82663133899573
1.135,-9.732608169901177,-14.122747727436145,-14.09481045222693,0.3166553049586557,0.3166553049586557,0.0,0.0,0.009701258044278026,0.01368931205112427,1.0,1.0,1.0,1.0,0.9957415655740085,0.9945571763817135,0.9951857247609924,0.9911249631878833,-1.5598091760569905,-2.830330381477978,-1.5598091760569905,-2.802393106268763
1.1360000000000001,-9.789037402747894,-14.126720737024904,-14.099331178887024,0.3138279568870253,0.3138279568870253,0.0,0.0,0.009591888857887202,0.013587276962377826,1.0,1.0,1.0,1.0,0.9957890546415489,0.9946190565005639,0.9952301311990023,0.9911825918386197,-1.5320791183655504,-2.805604215911459,-1.5320791183655504,-2.7782146577735802
1.137,-9.845083786267221,-14.13068833339511,-14.103844877837531,0.3110075031560853,0.3110075031560853,0.0,0.0,0.009481277113491133,0.013482640115458414,1.0,1.0,1.0,1.0,0.9958371076366012,0.9946816152499075,0.9952753106416594,0.9912420492428822,-1.5046644761535124,-2.7809400709743763,-1.5046644761535124,-2.7540966154167963
1.1380000000000001,-9.900747533590433,-14.134650502368132,-14.108351537439642,0.3081940482131438,0.3081940482131438,0.0,0.0,0.009369388340873685,0.013375315009121876,1.0,1.0,1.0,1.0,0.9958857403099207,0.9947448713492058,0.995321291488809,0.9913033935020692,-1.477564435982913,-2.7563385327947856,-1.477564435982913,-2.7300395678662954
1.139,-9.95602889006371,-14.138607229813415,-14.112851112678143,0.3053876962463321,0.3053876962463321,0.0,0.0,0.009256198824360275,0.013265229519021387,1.0,1.0,1.0,1.0,0.9959349636145205,0.9948088375611192,0.9953680967021606,0.9913666737788179,-1.450778149909996,-2.731800189839708,-1.450778149909996,-2.7060440727044357
1.14,-10.010928132895344,-14.14255850165323,-14.11734352729115,0.3025885511807407,0.3025885511807407,0.0,0.0,0.00914169528522005,0.013152325766424756,1.0,1.0,1.0,1.0,0.9959847838442839,0.994873520870496,0.9954157438920392,0.9914319303415359,-1.4243047357908427,-2.707325632967043,-1.4243047357908427,-2.682110658604963
1.1409999999999998,-10.065445570800078,-14.146504303867241,-14.121828675926153,0.29979671667457364,0.29979671667457364,0.0,0.0,0.009025874539538192,0.013036559947049473,1.0,1.0,1.0,1.0,0.9960352027837298,0.994938922676732,0.9954642454181791,0.9914991946347714,-1.3981432775916616,-2.682915455475502,-1.3981432775916616,-2.6582398275344135
