geometry_id,system,split,sample_kind,region,donor_distance_angstrom,transfer_distance_angstrom,base_energy_eV,qm_energy_eV,base_reference_eV,qm_reference_eV,base_relative_eV,qm_relative_eV,residual_target_eV,base_force_max_eV_per_angstrom
formaldehyde_grid_0001,formaldehyde,train,grid,off_path,1.0,0.7857142857,-11.875626716079175,-3125.204670296981,-15.278360339065305,-3128.712103255751,3.40273362298613,3.507432958770096,0.10469933578396606,4.048300550158939
formaldehyde_grid_0002,formaldehyde,train,grid,off_path,1.0,0.9214285714,-11.497616529736737,-3127.3561122470146,-15.278360339065305,-3128.712103255751,3.780743809328568,1.3559910087365097,-2.424752800592058,6.441371024480315
formaldehyde_grid_0003,formaldehyde,train,grid,off_path,1.0,1.0571428571,-15.007873263763043,-3127.733392903121,-15.278360339065305,-3128.712103255751,0.27048707530226146,0.9787103526300598,0.7082232773277983,23.164007126814422
formaldehyde_grid_0004,formaldehyde,train,grid,off_path,1.0,1.1928571429,-15.173206679646825,-3127.9547792191047,-15.278360339065305,-3128.712103255751,0.10515365941848032,0.7573240366464233,0.652170377227943,2.6630430635815263
formaldehyde_grid_0005,formaldehyde,train,grid,reactant_like,1.0,1.3285714286,-15.173206679646825,-3128.094135052647,-15.278360339065305,-3128.712103255751,0.10515365941848032,0.617968203104283,0.5128145436858027,2.6630430635815263
formaldehyde_grid_0006,formaldehyde,train,grid,reactant_like,1.0,1.4642857143,-15.173206679646825,-3128.1882335059163,-15.278360339065305,-3128.712103255751,0.10515365941848032,0.5238697498348301,0.41871609041634983,2.6630430635815263
formaldehyde_grid_0007,formaldehyde,train,grid,reactant_like,1.0,1.6,-15.173206679646825,-3128.2558597407037,-15.278360339065305,-3128.712103255751,0.10515365941848032,0.45624351504739025,0.35108985562890993,2.6630430635815263
formaldehyde_grid_0008,formaldehyde,train,grid,off_path,1.1285714286,0.65,-11.812283940811312,-3125.584272780366,-15.278360339065305,-3128.712103255751,3.4660763982539926,3.1278304753850534,-0.3382459228689392,5.249247813094792
formaldehyde_grid_0009,formaldehyde,train,grid,off_path,1.1285714286,0.7857142857,-11.960523521094387,-3126.0988086870193,-15.278360339065305,-3128.712103255751,3.3178368179709175,2.613294568731817,-0.7045422492391005,1.3916448793119507
formaldehyde_grid_0010,formaldehyde,train,grid,transfer_region,1.1285714286,0.9214285714,-11.582513334678204,-3126.0406463018226,-15.278360339065305,-3128.712103255751,3.695847004387101,2.671456953928555,-1.0243900504585461,3.789257908041938
