gap_A,bridge_taper,energy_eV,dE_dgap_autograd_eV_per_A,component_count,largest_component_edges,dE_dgap_finite_difference_eV_per_A,gradient_error_eV_per_A
1.1953040000000001,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1956373333333334,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1959706666666667,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.196304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1966373333333333,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1969706666666666,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.197304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1976373333333334,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1979706666666667,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.198304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1986373333333333,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1989706666666666,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1993040000000001,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1996373333333334,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.1999706666666667,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.200304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2006373333333333,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2009706666666666,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.201304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2016373333333334,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2019706666666667,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.202304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2026373333333333,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2029706666666666,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2033040000000002,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2036373333333334,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2039706666666667,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.204304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2046373333333333,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2049706666666666,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.205304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2056373333333334,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2059706666666667,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.206304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2066373333333333,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2069706666666666,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2073040000000002,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2076373333333335,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2079706666666667,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.208304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2086373333333333,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2089706666666666,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.209304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2096373333333335,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2099706666666667,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.210304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2106373333333333,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2109706666666666,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2113040000000002,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2116373333333335,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2119706666666668,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.212304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2126373333333333,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2129706666666666,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.213304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2136373333333335,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2139706666666668,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.214304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2146373333333333,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2149706666666666,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2153040000000002,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2156373333333335,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2159706666666668,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.216304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2166373333333333,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2169706666666666,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.217304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2176373333333335,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2179706666666668,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.218304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2186373333333334,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2189706666666666,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2193040000000002,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2196373333333335,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2199706666666668,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.220304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2206373333333334,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2209706666666666,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.221304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2216373333333335,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2219706666666668,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.222304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2226373333333334,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2229706666666667,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2233040000000002,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2236373333333335,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.2239706666666668,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
1.224304,0.0,-5.037634138848642,-1.7763568394002505e-15,2,2,0.0,-1.7763568394002505e-15
