pair,element_a,element_b,orientation,distance_A,exch10_hartree,exch10_eV,exch10_s2_hartree,exch10_s2_eV,exact_to_s2_ratio,status
H-N,H,N,side,1.8,0.10555635091497967,2.8723346354645605,0.09802341754833722,2.667353076059562,1.076848303752803,ok
H-N,H,N,side,2.05,0.047914992379798335,1.3038333646202642,0.04619644149283733,1.257069212651783,1.0372009365099575,ok
H-N,H,N,side,2.35,0.01801231883099034,0.49014016489596113,0.017742526487162402,0.48279874122184874,1.0152059710336714,ok
H-N,H,N,side,2.7,0.005573681262922315,0.1516675936574053,0.00554512154245882,0.1508904440727957,1.0051504228076542,ok
H-O,H,O,end,1.25,0.16593781492286033,4.515397974681224,0.15140198532721102,4.119857901148147,1.096008183540225,ok
H-O,H,O,end,1.5,0.07120272737621332,1.9375249164019241,0.06820877906035683,1.856055432378628,1.043893885172863,ok
H-O,H,O,end,1.75,0.02968941315334815,0.807890088732473,0.029116629546268126,0.7923038527648483,1.019672043639867,ok
H-O,H,O,end,2.0,0.012107303865774287,0.3294565218891278,0.012003509450847539,0.3266321319743797,1.0086470057237653,ok
H-O,H,O,end,2.3,0.004023225121601519,0.10947753273846096,0.004010562645441552,0.1091329692088415,1.0031572817281282,ok
H-O,H,O,end,2.55,0.0015834005205757275,0.04308652314748459,0.0015812796323714348,0.04302881083937302,1.001341248037902,ok
H-O,H,O,T,1.25,0.20411587893522593,5.554276020645759,0.18090041519804204,4.92255107001352,1.128332838328583,ok
H-O,H,O,T,1.5,0.09361013693027335,2.5472615925494937,0.08802948498905153,2.395404317072484,1.0633952583264108,ok
H-O,H,O,T,1.75,0.04194394549280888,1.14135290148549,0.0406848696110622,1.107091701354273,1.0309470300331096,ok
H-O,H,O,T,2.0,0.01844630792941274,0.5019496098796812,0.01817591110648048,0.49459173749118346,1.014876658526122,ok
H-O,H,O,T,2.3,0.006728152606439245,0.18308235929576916,0.006687707807828841,0.1819818002591403,1.0060476324284169,ok
H-O,H,O,T,2.55,0.0028609680951250226,0.07785090787389552,0.0028529651876780544,0.07763313766826518,1.0028051192077396,ok
H-O,H,O,side,1.25,0.512814121846253,13.954383141955542,0.38333404498684465,10.431050759373969,1.337773486474054,ok
H-O,H,O,side,1.5,0.24595412714408743,6.692752752512605,0.21097342505087766,5.740879356698432,1.1658062008747023,ok
H-O,H,O,side,1.75,0.11468762828925151,3.1208093510151227,0.10601242435432338,2.8847450259790786,1.0818319549596673,ok
H-O,H,O,side,2.0,0.0522133497160058,1.4207976263190816,0.050204687924973984,1.3661391544857568,1.0400094468077077,ok
H-O,H,O,side,2.3,0.01975454511814145,0.5375485573235436,0.019432759991641266,0.5287923379581331,1.01655889984946,ok
H-O,H,O,side,2.55,0.008622154876710619,0.2346207866229017,0.008555776092049919,0.23281452787496013,1.0077583592588848,ok
C-C,C,C,end,2.05,0.18602096476127286,5.061888321970319,0.16226886306253507,4.415560708491977,1.1463749806984487,ok
C-C,C,C,end,2.3,0.08874730360048351,2.414937156562718,0.08277711516087347,2.252480052971157,1.0721236591539491,ok
C-C,C,C,end,2.55,0.041475671132526266,1.1286105069987467,0.04006751448898495,1.0902926126764898,1.0351445968511084,ok
C-C,C,C,end,2.8,0.01904940310125662,0.5183606655438155,0.018732917456259313,0.5097486524164832,1.0168946265703829,ok
C-C,C,C,end,3.15,0.006231158713684225,0.16955846651811518,0.006194515123992272,0.16856134364556793,1.0059154895836846,ok
C-C,C,C,end,3.55,0.0016717835668122985,0.04549154835622494,0.0016689183836946422,0.04541358275174491,1.0017167904348403,ok
C-C,C,C,T,2.05,0.14270473133820394,3.883193563573815,0.12903595309335475,3.511247159242466,1.1059299979360024,ok
C-C,C,C,T,2.3,0.06757180116525471,1.8387223808448478,0.06412481166450662,1.7449250181541263,1.0537543801108116,ok
C-C,C,C,T,2.55,0.03123781818234134,0.850024336041637,0.030423312492003366,0.8278605071022953,1.0267724196880947,ok
C-C,C,C,T,2.8,0.014162009604208776,0.38536791335951665,0.013979108967980918,0.38039093350248343,1.0130838551045558,ok
C-C,C,C,T,3.15,0.0045530992259181155,0.12389614165276681,0.004531971391122203,0.12332122397959382,1.0046619523762441,ok
C-C,C,C,T,3.55,0.0012048419442263567,0.03278541950971052,0.0012031863909252318,0.03274036960938279,1.001375974091472,ok
C-C,C,C,side,2.05,0.15966060061469373,4.34458627159286,0.1489392705393583,4.05284401784218,1.0719845748976073,ok
C-C,C,C,side,2.3,0.06989425811200153,1.9019196538624537,0.06737613041596013,1.8333979085087513,1.0373741810414938,ok
C-C,C,C,side,2.55,0.030247157963643478,0.8230670981921145,0.029684862849550582,0.8077662686583008,1.0189421496384448,ok
C-C,C,C,side,2.8,0.012955665741846815,0.3525416245753083,0.01283552462959151,0.3492724183657066,1.0093600468794495,ok
C-C,C,C,side,3.15,0.0038984385509933,0.10608191716732847,0.0038854350631220293,0.1057280742363183,1.0033467263408133,ok
C-C,C,C,side,3.55,0.0009661189890555839,0.026289436970774946,0.0009651733641537772,0.026263705206328057,1.0009797461647068,ok
C-N,C,N,end,1.95,0.18850797551554088,5.129563332202632,0.16752578671111626,4.558608888359188,1.1252475169127638,ok
C-N,C,N,end,2.2,0.08481688865447444,2.3079851173598613,0.08007312381297131,2.1789006999975817,1.0592429096757014,ok
C-N,C,N,end,2.45,0.03742052414993012,1.0182643361710702,0.036413186177408026,0.9908532735205211,1.027664098593687,ok
C-N,C,N,end,2.7,0.01622763152348138,0.44157634924302247,0.016023758074870782,0.43602867008757795,1.0127231981198168,ok
C-N,C,N,end,3.05,0.004896961763680633,0.1332531179833483,0.004876612434858352,0.13269938453691862,1.0041728411051944,ok
C-N,C,N,end,3.4,0.0014365946801466886,0.03909173272040313,0.0014346950304064978,0.039040040617590706,1.0013240791247828,ok
C-N,C,N,T,1.95,0.2032869231743419,5.531718985255506,0.17917899890947847,4.875708946495281,1.1345465953688179,ok
C-N,C,N,T,2.2,0.0945952762438362,2.5740685989169596,0.08861406226267236,2.411311475055607,1.06749734555035,ok
C-N,C,N,T,2.45,0.0431756410691227,1.1748690455500401,0.0417805878206241,1.1369077127714242,1.03338998614591,ok
C-N,C,N,T,2.7,0.01936799139299918,0.5270298946038718,0.019058257547608523,0.5186016073034916,1.016251949823688,ok
C-N,C,N,T,3.05,0.006126299873760599,0.16670511212364716,0.006091198570070001,0.16574995699118458,1.0057626267288466,ok
C-N,C,N,T,3.4,0.0018859283535203183,0.051318724859901584,0.0018822168604396392,0.05121772998813391,1.0019718732515297,ok
C-N,C,N,side,1.95,0.23018686085413342,6.26370357945332,0.20968022106588868,5.7056894835680465,1.0977995906528581,ok
C-N,C,N,side,2.2,0.1004953464114901,2.7346176871274213,0.09567743532847414,2.6035156477486474,1.0503557716244734,ok
C-N,C,N,side,2.45,0.04331362673240163,1.1786238267299318,0.04224255966523504,1.1494786070699041,1.0253551649250097,ok
C-N,C,N,side,2.7,0.018448980543321412,0.5020223354090365,0.018221630755799,0.49583583252782076,1.012476917712212,ok
C-N,C,N,side,3.05,0.0054920245000315004,0.14944559994278628,0.005467785415611373,0.14878602085438108,1.0044330716327896,ok
C-N,C,N,side,3.4,0.0016096656608830342,0.04380123402519178,0.0016072642789204015,0.04373588909308243,1.0014940803414394,ok
C-O,C,O,end,1.9,0.1715980105442438,4.66941974396254,0.15625692986844875,4.251967672262618,1.0981785619921662,ok
C-O,C,O,end,2.15,0.07402579735079795,2.0143445638797983,0.07081483379553755,1.9269697943558166,1.0453430924448874,ok
C-O,C,O,end,2.4,0.03135863704018729,0.8533119846482823,0.030724880672303716,0.8360665953359478,1.0206268129937723,ok
C-O,C,O,end,2.65,0.013071508612355225,0.35569386966855665,0.012951930654045814,0.3524399876584926,1.0092324427533943,ok
C-O,C,O,end,2.95,0.004484200086074341,0.12202130054646153,0.0044688012684508255,0.12160227737237651,1.0034458497253458,ok
C-O,C,O,end,3.25,0.0015132723289126098,0.04117823783740682,0.001511369375999831,0.04112645585068926,1.001259091882499,ok
C-O,C,O,T,1.9,0.22422959488772518,6.101598114271305,0.19723032168971072,5.366910462919183,1.136892101410708,ok
C-O,C,O,T,2.15,0.10306620176966194,2.8045742252612027,0.09643886631324552,2.6242352403749245,1.0687205865204803,ok
C-O,C,O,T,2.4,0.04666768585213661,1.269892424928919,0.04512801216220054,1.227995769459283,1.0341179151521704,ok
C-O,C,O,T,2.65,0.020838708512796407,0.5670501462092612,0.020496412681544913,0.5577358021346852,1.016700280023133,ok
C-O,C,O,T,2.95,0.007776617437696505,0.2116125407844451,0.007722986385506157,0.21015316550851482,1.0069443411542196,ok
C-O,C,O,T,3.25,0.0028545441945464762,0.07767610463404688,0.002846513173979633,0.07745756943145303,1.0028213537320874,ok
C-O,C,O,side,1.9,0.2535850975847625,6.900402036605531,0.23004891997526442,6.259950016919304,1.1023094462344303,ok
C-O,C,O,side,2.15,0.11196186577371989,3.046637574390156,0.10628583150739837,2.892184813623818,1.0534034893063466,ok
C-O,C,O,side,2.4,0.04869129449505711,1.3249576213221481,0.04740258551071932,1.2898900633906576,1.0271864703254714,ok
C-O,C,O,side,2.65,0.020922211708738193,0.5693223839268076,0.02064305019557846,0.5617260121672035,1.0135232686310829,ok
C-O,C,O,side,2.95,0.007479883471705772,0.2035379982235674,0.007437712143958287,0.20239045793572444,1.0056699327604042,ok
C-O,C,O,side,3.25,0.0026350675284066145,0.07170384029973334,0.0026290392933463256,0.07153980366712621,1.0022929421692348,ok
N-N,N,N,end,1.85,0.19395255463240071,5.277717877498345,0.17466252022010714,4.752809300407025,1.1104417501132158,ok
N-N,N,N,end,2.1,0.08087944091924185,2.2008417062130565,0.07707475289325333,2.0973108707923975,1.0493636097835812,ok
N-N,N,N,end,2.35,0.03310020081906131,0.9007023493072456,0.03239583828600929,0.8815356683631645,1.0217423771175018,ok
N-N,N,N,end,2.6,0.01331522450112716,0.362325716852214,0.013191047203415258,0.3589466804411924,1.0094137558449303,ok
N-N,N,N,end,2.9,0.0043627132242634046,0.11871547462591116,0.004348079016334638,0.11831725754155739,1.0033656720298296,ok
N-N,N,N,end,3.2,0.00140112816760365,0.038126639748796334,0.0013994896017349946,0.03808205210005485,1.0011708310419916,ok
N-N,N,N,T,1.85,0.20483946715559181,5.573965859193182,0.1844667925155607,5.01959714069945,1.110440878611323,ok
N-N,N,N,T,2.1,0.08883255068500998,2.417256847906112,0.08437512203697083,2.2959640353003867,1.0528287075672143,ok
N-N,N,N,T,2.35,0.037842473252626706,1.029746156180695,0.03692536233150313,1.0047902966755875,1.024836883464814,ok
N-N,N,N,T,2.6,0.015855938789376068,0.43146207469045555,0.01567628491409688,0.426573443699645,1.011460232846217,ok
