donor_ch_A,forming_hh_A,reactant_diag_eV,product_diag_eV,signed_gap_product_minus_reactant_eV,abs_gap_eV,coupling_eV,reactant_covalent_eV,reactant_wall_total_eV,reactant_unoccupied_hh_wall_eV,product_covalent_eV,product_wall_total_eV,product_unoccupied_breaking_ch_wall_eV,lowest_h_state_component_eV,mixing_lowering_from_lower_diagonal_eV,full_energy_eV,state_count,candidate_edge_count,donor_edge_active
1.4900000000000004,1.0100000000000002,-4.475628540374366,-4.808036812380426,-0.3324082720060595,0.3324082720060595,1.6452254960410588,-5.766328492863469,1.2906999524891032,1.2906999524891032,-6.624952215041398,1.8169154026609724,1.8169154026609724,-6.2954320074271095,-1.487395195046684,-14.007827005780168,2,3,1
1.5100000000000005,1.0100000000000002,-4.157841677164525,-5.086084009973547,-0.9282423328090221,0.9282423328090221,1.5476857267176467,-5.512207669108155,1.3543659919436304,1.3543659919436304,-6.624952215041398,1.5388682050678513,1.5388682050678513,-6.237741159363073,-1.1516571493895258,-13.921055811837133,2,3,1
1.5300000000000005,1.0100000000000002,-3.8157329106818105,-5.348929872287496,-1.533196961605685,1.533196961605685,1.427803954205973,-5.257646320137234,1.4419134094554238,1.4419134094554238,-6.624952215041365,1.2760223427538693,1.2760223427538693,-6.202916891362841,-0.8539870190753458,-13.853295306984327,2,3,1
1.5500000000000005,1.0100000000000002,-3.4616569113180873,-5.592148082067721,-2.130491170749634,2.130491170749634,1.2839318238408624,-5.009073324658298,1.5474164133402113,1.5474164133402113,-6.624952215041379,1.0328041329736577,1.0328041329736577,-6.195203754089739,-0.6030556720220179,-13.810526237710953,2,3,1
1.5700000000000005,1.0100000000000002,-3.1137031075240897,-5.812272359055068,-2.698569251530978,2.698569251530978,1.1160843238536442,-4.772409881849937,1.658706774325847,1.658706774325847,-6.624952215041379,0.8126798559863112,0.8126798559863112,-6.214048331692433,-0.4017759726373651,-13.793671039811493,2,3,1
1.5900000000000005,1.0100000000000002,-2.792460681430927,-6.0068036641186495,-3.2143429826877226,3.2143429826877226,0.9271441793790812,-4.552919827309088,1.7604591458781609,1.7604591458781609,-6.624952215041379,0.618148550922729,0.618148550922729,-6.255055717937715,-0.24825205381906557,-13.799403090177245,2,3,1
1.6100000000000005,1.0100000000000002,-2.5152576723326083,-6.17418708789883,-3.658929415566222,3.658929415566222,0.7241930414986314,-4.3550891014241895,1.8398314290915814,1.8398314290915814,-6.624952215041398,0.45076512714256844,0.45076512714256844,-6.312308891143629,-0.1381218032447986,-13.82256303929249,2,3,1
1.6300000000000006,1.0100000000000002,-2.291279763890202,-6.308835574546694,-4.017555810656492,4.017555810656492,0.5191716179252656,-4.182799758984308,1.8915199950941055,1.8915199950941055,-6.620025441640637,0.31118986709394286,0.31118986709394286,-6.374841475255616,-0.0660059007089222,-13.852456594893901,2,3,1
1.6500000000000006,1.0100000000000002,-2.1194128292074694,-6.4125382832362305,-4.293125454028761,4.293125454028761,0.3292768378842794,-4.038139041855592,1.9187262126481228,1.9187262126481228,-6.611798274902943,0.19925999166671252,0.19925999166671252,-6.437646520473683,-0.025108237237452258,-13.885841174590905,2,3,1
1.6700000000000006,1.0100000000000002,-1.9934721491412275,-6.4873473842757425,-4.4938752351345155,4.4938752351345155,0.17381086498277415,-3.9231468211051173,1.9296746719638898,1.9296746719638898,-6.601426118611101,0.11407873433535863,0.11407873433535863,-6.4940598890710675,-0.006712504795324925,-13.916720275950107,2,3,1
1.6900000000000006,1.0100000000000002,-1.9060391511339334,-6.535036879387401,-4.628997728253467,4.628997728253467,0.0676896292377287,-3.838737425022793,1.9326982738888596,1.9326982738888596,-6.589154192963118,0.054117313575716836,0.054117313575716836,-6.536026490280632,-0.0009896108932307968,-13.938116939606827,2,3,1
1.7100000000000006,1.0100000000000002,-1.8516095506058605,-6.559845881459811,-4.708236330853951,4.708236330853951,0.014214715217911168,-3.78475914079627,1.9331495901904094,1.9331495901904094,-6.577171169076454,0.01732528761664316,0.01732528761664316,-6.5598887969535955,-4.291549378443449e-05,-13.947691056555197,2,3,1
1.7300000000000006,1.0100000000000002,-1.8270342365460497,-6.568616945549372,-4.741582709003322,4.741582709003322,0.0003075567169973828,-3.760202883029526,1.9331686464834763,1.9331686464834763,-6.569861947550853,0.0012450020014819257,0.0012450020014819257,-6.568616965498645,-1.9949273344366247e-08,-13.949481017641892,2,3,1
1.7500000000000007,1.0100000000000002,nan,-6.569201851534421,nan,nan,nan,nan,nan,0.0,-6.569201851534421,0.0,nan,-6.569201851534421,nan,-13.949489396681804,1,2,0
1.7700000000000007,1.0100000000000002,nan,-6.569201851534421,nan,nan,nan,nan,nan,0.0,-6.569201851534421,0.0,nan,-6.569201851534421,nan,-13.949489396681804,1,2,0
1.7900000000000007,1.0100000000000002,nan,-6.569201851534421,nan,nan,nan,nan,nan,0.0,-6.569201851534421,0.0,nan,-6.569201851534421,nan,-13.949489396681804,1,2,0
1.8100000000000007,1.0100000000000002,nan,-6.569201851534386,nan,nan,nan,nan,nan,0.0,-6.569201851534386,0.0,nan,-6.569201851534386,nan,-13.94948939668177,1,2,0
1.8300000000000007,1.0100000000000002,nan,-6.569201851534421,nan,nan,nan,nan,nan,0.0,-6.569201851534421,0.0,nan,-6.569201851534421,nan,-13.949489396681804,1,2,0
1.8500000000000008,1.0100000000000002,nan,-6.569201851534402,nan,nan,nan,nan,nan,0.0,-6.569201851534402,0.0,nan,-6.569201851534402,nan,-13.949489396681786,1,2,0
1.8700000000000008,1.0100000000000002,nan,-6.569201851534402,nan,nan,nan,nan,nan,0.0,-6.569201851534402,0.0,nan,-6.569201851534402,nan,-13.949489396681786,1,2,0
1.8900000000000008,1.0100000000000002,nan,-6.569201851534421,nan,nan,nan,nan,nan,0.0,-6.569201851534421,0.0,nan,-6.569201851534421,nan,-13.949489396681804,1,2,0
1.9100000000000008,1.0100000000000002,nan,-6.569201851534386,nan,nan,nan,nan,nan,0.0,-6.569201851534386,0.0,nan,-6.569201851534386,nan,-13.94948939668177,1,2,0
1.9300000000000008,1.0100000000000002,nan,-6.569201851534421,nan,nan,nan,nan,nan,0.0,-6.569201851534421,0.0,nan,-6.569201851534421,nan,-13.949489396681804,1,2,0
1.9500000000000008,1.0100000000000002,nan,-6.569201851534421,nan,nan,nan,nan,nan,0.0,-6.569201851534421,0.0,nan,-6.569201851534421,nan,-13.949489396681804,1,2,0
1.9700000000000009,1.0100000000000002,nan,-6.569201851534421,nan,nan,nan,nan,nan,0.0,-6.569201851534421,0.0,nan,-6.569201851534421,nan,-13.949489396681804,1,2,0
1.9900000000000009,1.0100000000000002,nan,-6.569201851534386,nan,nan,nan,nan,nan,0.0,-6.569201851534386,0.0,nan,-6.569201851534386,nan,-13.94948939668177,1,2,0
