path_index,grid_i,grid_j,donor_ch_A,forming_hh_A,grid_energy_eV,relative_to_reactant_eV,reactant_diag_eV,product_diag_eV,signed_gap_product_minus_reactant_eV,abs_gap_eV,coupling_eV,reactant_covalent_eV,reactant_wall_total_eV,reactant_unoccupied_hh_wall_eV,product_covalent_eV,product_wall_total_eV,product_unoccupied_breaking_ch_wall_eV,lowest_h_state_component_eV,mixing_lowering_from_lower_diagonal_eV,full_energy_eV,state_count,candidate_edge_count,donor_edge_active
30,11,3,1.4400000000000004,0.7700000000000001,-14.747827245707452,0.5414407196369453,-3.3477453268653563,-5.916913401194222,-2.5691680743288656,2.5691680743288656,2.06755704120921,-6.3550585912076105,3.007313264342254,3.007313264342254,-8.257046486378776,2.340133085184554,2.340133085184554,-7.066451026394153,-1.1495376251999314,-14.747827245707452,2,3,1
31,11,2,1.4400000000000004,0.7300000000000001,-14.686938479378128,0.6023294859662691,-3.0366851908313626,-5.939901705789428,-2.903216514958065,2.903216514958065,2.067557041209212,-6.355058591199187,3.3183734003678245,3.3183734003678245,-8.26846829427173,2.3285665884823015,2.3285665884823015,-7.014547325464294,-1.0746456196748664,-14.686938479378128,2,3,1
32,12,2,1.4800000000000004,0.7300000000000001,-14.887819291465053,0.4014486738793437,-2.452840294047539,-6.534146016752269,-4.08130572270473,4.08130572270473,1.8912431133736343,-5.891118659935044,3.438278365887505,3.438278365887505,-8.268468294280588,1.7343222775283191,1.7343222775283191,-7.275770031346795,-0.7416240145945263,-14.887819291465053,2,3,1
33,13,2,1.5200000000000005,0.7300000000000001,-15.085765539119295,0.20350242622510173,-1.6006910755429002,-7.099378947520649,-5.498687871977749,5.498687871977749,1.6242134862272557,-5.384570298302545,3.783879222759645,3.783879222759645,-8.268468294276378,1.1690893467557286,1.1690893467557286,-7.5433031692663075,-0.44392422174565827,-15.085765539119295,2,3,1
34,14,2,1.5600000000000005,0.7300000000000001,-15.305238065704174,-0.01597010035977675,-0.5412141753929083,-7.5547063634199025,-7.013492188026994,7.013492188026994,1.260998633891993,-4.888906951849629,4.347692776456721,4.347692776456721,-8.268468294276618,0.7137619308567149,0.7137619308567149,-7.774538555523094,-0.21983219210319138,-15.305238065704174,2,3,1
35,15,2,1.6000000000000005,0.7300000000000001,-15.54720840438133,-0.25794043903693264,0.43955376281021685,-7.883728848128634,-8.32328261093885,8.32328261093885,0.826344424800863,-4.451049727711922,4.890603490522139,4.890603490522139,-8.268468294280467,0.3847394461518331,0.3847394461518331,-7.964976118121535,-0.08124726999290122,-15.54720840438133,2,3,1
36,16,2,1.6400000000000006,0.7300000000000001,-15.77715347551096,-0.48788551016656356,1.0666556242958007,-8.096717609292785,-9.163373233588587,9.163373233588587,0.3997922409788147,-4.106617813213297,5.173273437509097,5.173273437509097,-8.268468294267947,0.17175068497516305,0.17175068497516305,-8.11412721789526,-0.017409608602475757,-15.77715347551096,2,3,1
37,17,2,1.6800000000000006,0.7300000000000001,-15.949661043845236,-0.6603930785008387,1.3613570350986404,-8.215124042931803,-9.576481078030444,9.576481078030444,0.10360874847471523,-3.8770804643745604,5.238437499473201,5.238437499473201,-8.268468294280588,0.053344251348784566,0.053344251348784566,-8.216244863453912,-0.001120820522109156,-15.949661043845236,2,3,1
38,18,2,1.7200000000000006,0.7300000000000001,-16.033555951611614,-0.7442879862672171,1.4733651184640895,-8.264079764352347,-9.737444882816437,9.737444882816437,0.0033440194959090904,-3.768896552105935,5.2422616705700245,5.2422616705700245,-8.268468294277316,0.0043885299249690176,0.0043885299249690176,-8.26408091275064,-1.14839829201685e-06,-16.033555951611614,2,3,1
39,19,2,1.7600000000000007,0.7300000000000001,-16.041697293606912,-0.7524293282625152,nan,-8.268468294280588,nan,nan,nan,nan,nan,0.0,-8.268468294280588,0.0,nan,-8.268468294280588,nan,-16.041697293606912,1,2,0
